3653	2058
2488	2372
1376	976
148	1686
1986	1728
1344	1007
1749	665
1807	1563
3081	2905
71	180
1172	823
909	2077
3705	3442
227	251
990	740
596	3609
4278	3045
3248	2492
3286	1026
461	561
2193	2199
4269	2089
2558	1963
4290	812
2858	2694
2407	2299
1097	4170
42	1056
619	1970
380	406
2452	2362
468	1306
992	748
4215	4073
2590	378
1194	597
3463	1326
3386	3076
1177	826
1271	927
3976	3662
3626	3356
704	4199
2430	2315
3268	614
2594	2458
1413	357
289	191
764	1985
636	1121
4194	2072
2849	2819
4108	3835
1998	1220
1627	1294
406	3421
3399	2743
2643	3774
2782	899
753	3117
262	273
3922	4163
2673	2571
498	619
1891	1601
3998	3680
324	342
761	1984
3401	3241
921	2068
1469	1130
1506	3976
1898	2356
1817	2053
4064	3731
650	4182
1620	1286
3244	2975
4114	3840
808	653
222	248
81	4256
3749	1360
2855	2692
3010	2811
1393	1079
3192	1899
739	2674
201	225
653	4185
1522	462
3739	1037
2723	1030
374	403
4000	3685
4094	502
2504	2391
3755	3479
2482	2368
3507	3291
3770	2611
3204	2171
471	570
2829	2668
1058	3963
1753	1513
3629	3367
4286	1822
393	1344
3245	2976
1733	1291
76	4015
930	1567
90	880
991	749
1845	1623
3439	3156
2496	107
3426	3358
511	601
1072	997
2753	2631
189	496
2063	1758
4306	4201
1366	666
116	113
1085	789
3016	210
733	3196
1196	3661
1184	1910
3681	3409
3619	3517
484	594
2480	2360
1295	950
3634	348
2001	1737
3683	1326
3074	2854
2053	1753
1005	981
540	645
1500	1333
3556	3318
875	717
2355	3179
3033	2829
3928	3626
3701	1157
1188	835
1755	1514
3022	3395
1425	1091
589	1868
2175	4027
2985	3053
3828	3530
434	478
2515	2345
346	1043
3060	2849
3072	2855
3666	3418
1215	2180
2080	1773
2345	3913
998	990
3087	2902
563	1178
3909	3698
2822	4299
265	275
1661	1416
1372	76
3147	4130
3793	3488
560	675
314	321
1452	1106
3261	3003
1355	1216
3680	3410
1614	1279
4116	3842
2010	4217
2598	476
3711	522
1298	953
2901	2719
2854	1113
1619	1285
2865	2698
348	539
224	250
4166	3981
441	501
3859	3573
2067	211
3919	3618
4170	3990
2704	2570
2913	2723
36	3871
3079	872
2702	2588
4244	813
3284	1146
1882	599
1692	3354
997	213
2440	2487
3444	4124
3504	3276
873	506
3306	3863
1102	811
84	90
1696	1470
1128	2416
2294	2170
3713	3451
3006	2807
3807	3500
241	255
3189	2932
2050	999
360	391
2915	2724
3065	2852
2434	2317
2870	2703
675	554
4230	2059
4033	2404
694	708
4314	4212
835	2019
480	1460
3391	2815
2300	639
3885	3593
443	1402
3075	3992
4246	1373
1496	895
3177	2921
2461	2333
1975	1720
2376	2265
2315	4088
1331	988
3981	3666
894	3448
1248	917
3550	3370
920	1904
2157	3359
1482	1141
288	190
2964	2775
2926	2732
1689	1453
1245	4279
20	51
2885	1183
2649	2536
2861	1112
3514	3279
3477	3249
3138	4010
3194	2936
3004	4216
431	524
3600	3344
2167	1393
3952	3640
1926	1675
1820	1588
3234	3054
228	991
3853	2134
815	513
3461	3538
3325	3029
2370	2271
2308	1691
172	173
2250	2179
4016	3695
2747	495
3435	3452
1216	863
1536	1193
2317	482
2046	3922
2786	2641
1404	1082
559	3143
1308	3728
2203	2132
707	4204
1284	940
428	634
278	292
4311	1139
3693	3940
2538	936
339	2145
2386	2275
308	3172
3933	1531
2756	2341
947	2099
3094	2707
1855	1641
520	636
4027	3742
370	399
797	2009
2487	2373
4188	2484
1244	4278
2527	2408
1235	1057
1041	3955
2111	1016
616	1880
1176	3956
2631	3147
3594	2969
3303	76
3489	3263
2310	2219
533	624
1117	2499
1641	1352
3158	648
2477	2358
385	3404
2101	1784
1850	1628
993	1971
2409	2301
3551	910
3545	3303
3028	2825
4157	331
447	3425
3632	3364
2296	2209
4172	3991
3781	4295
1792	1568
2552	1800
3494	3270
4039	3800
3888	3974
3921	4164
1834	1606
2191	1229
548	205
3907	2012
2619	2726
2810	2666
47	1225
3914	3613
1048	3598
185	196
923	2421
2659	2541
3641	1338
354	384
598	1872
2746	496
1299	3482
2271	1176
1594	1250
1813	1689
3689	3203
614	1179
2221	1909
1585	1039
239	3749
4191	2075
450	548
179	229
1105	793
4082	3817
543	2919
2266	2190
1534	1191
311	318
3337	3042
2176	1367
2520	2405
3044	247
2398	2286
3965	3347
855	2108
3682	783
2698	2586
4253	4076
3429	3316
3140	238
1872	1665
1095	0
2207	3193
497	3175
2738	3075
2202	2097
1677	1439
2707	2567
4080	3805
412	430
3727	3467
996	4171
2557	2437
2336	2126
3991	4032
2206	2115
4119	732
3182	189
3996	3675
3343	3046
4075	1768
1869	1653
508	192
3729	3468
1842	1617
3591	3353
