2504	1	2971
1653	12	1652
445	34	447
690	34	2576
1813	34	355
2283	8	2285
3002	21	65
2288	34	2953
1084	35	1083
1750	0	1817
1294	34	1769
825	12	2437
2582	12	1562
2448	12	2492
2045	34	920
1460	34	1459
2324	34	219
3172	1	2595
3172	34	1304
837	37	2563
2499	34	2050
2195	0	908
515	37	665
1677	34	2090
537	21	1862
2440	34	2296
278	21	2133
570	34	1412
2096	5	3117
613	34	2284
1650	34	805
2827	21	2965
2604	34	1736
591	37	592
1181	34	1182
2063	13	1304
2729	34	3032
529	34	2925
815	34	76
2752	34	1362
1256	34	1141
847	34	1998
1602	34	1619
2619	34	2615
705	34	2133
870	35	870
2046	21	499
893	34	2024
596	9	1832
1802	34	217
356	34	2791
2890	34	1649
1388	1	1645
1619	0	2912
3060	37	940
762	34	1373
2029	8	1750
2458	0	1622
2077	34	352
1624	34	1612
2538	34	872
2518	34	2925
2000	8	1674
1658	38	591
1610	34	1610
1718	34	809
2195	34	2573
1117	27	872
2486	35	1571
1375	34	2129
143	34	654
2405	0	2772
1544	0	2423
3108	34	994
533	34	2067
1071	34	2127
948	34	1882
1645	34	2472
1654	14	366
1637	34	1475
693	21	637
2633	37	1107
2397	34	602
928	0	870
2133	27	664
3024	8	3023
620	8	621
1302	25	742
215	20	1978
745	34	481
835	34	2563
577	34	832
2158	34	2157
124	34	125
2330	34	1765
1168	12	1691
2766	34	2242
1866	21	158
1357	1	2520
2074	34	488
708	34	950
369	37	1649
2226	34	1573
1730	34	1181
2225	8	2227
1359	34	2784
1436	34	1730
1381	36	2097
1595	34	304
2429	34	2428
1017	37	1108
2504	21	2677
2612	0	1309
533	34	2648
1646	18	1256
155	12	3135
2479	34	599
2203	17	1516
2087	34	254
2458	34	628
966	34	2672
1533	0	2037
2592	34	1256
2335	34	2713
2222	34	1579
1809	34	3108
455	11	1107
605	38	592
585	32	3034
1380	18	2252
2596	14	1109
1133	37	606
2063	34	375
1908	21	1769
1616	12	1616
1232	32	64
502	34	2045
2876	38	591
872	34	1167
1086	12	1085
893	8	895
1248	34	1430
2753	21	2487
1214	8	1210
1107	1	864
1759	34	2463
1122	37	3023
1122	0	2586
2498	34	1748
665	34	2802
892	17	515
1726	12	3184
2481	34	2929
859	34	538
1806	34	2330
2648	17	533
5	21	2660
3167	34	67
2295	21	1458
648	21	2284
1573	34	1991
1488	34	1608
2437	0	825
2589	34	2035
3144	0	872
2692	34	1827
421	34	2724
1475	34	2133
2967	21	576
2233	34	1753
1370	34	42
79	3	17
623	34	2856
3083	34	613
1369	34	2283
1617	12	1616
2238	21	576
2700	34	253
2283	8	2284
1187	38	188
2476	32	2476
896	34	2285
1239	21	2284
1285	34	1020
245	34	2028
2769	34	2918
455	34	1616
1790	34	1791
2152	34	2150
126	12	127
740	34	2133
2555	0	46
3098	34	1671
1242	34	1051
485	38	1771
1253	34	3045
862	34	2721
3160	1	78
497	21	706
1571	34	3160
3172	34	2918
592	21	1016
3172	34	1983
2133	34	1499
1167	34	1947
539	34	540
1	12	1780
347	4	347
1108	12	1691
436	21	469
652	34	2670
2915	34	1967
2392	34	2393
1730	34	2765
281	12	996
773	34	1649
595	34	170
521	21	1617
359	21	2284
1167	34	590
2704	34	1781
132	32	895
940	34	925
943	34	1431
1967	21	2679
3054	34	733
2752	34	2084
1869	34	1870
613	34	773
335	32	1138
595	34	2657
2796	34	2797
1686	21	937
18	34	18
3191	3	459
2234	14	500
1841	8	1840
976	21	2529
2405	34	590
25	34	998
393	34	2347
1592	3	646
3003	34	1475
358	34	1814
2177	8	2178
1777	38	2563
742	34	2681
67	21	2296
2097	1	2854
1694	34	3172
2866	21	2563
630	34	1649
1976	34	1560
962	12	1780
118	34	1472
512	12	511
1692	35	1692
2207	32	2865
2823	34	1111
568	34	1613
430	34	3
1195	14	1195
499	34	925
2812	34	597
773	34	720
2064	34	1939
2876	37	2154
836	18	1456
1609	34	1494
2962	34	1410
606	34	2458
943	34	2084
2367	34	592
2011	34	2011
3056	19	3172
1054	37	1290
2396	34	893
1167	0	2921
935	8	936
573	21	2602
968	21	2301
724	0	1469
2563	34	2794
2573	34	3172
899	34	896
1889	12	1674
1062	8	1062
1650	34	2095
75	18	1256
1998	34	363
837	34	2584
2675	34	689
758	34	1031
2221	34	2222
1603	37	1619
2795	34	2794
943	21	2084
1322	34	254
2585	1	226
379	34	943
1184	34	1037
216	38	1117
2365	34	2416
1062	21	788
1820	34	1145
2178	34	680
3166	37	1982
1222	8	1223
3025	34	3023
644	21	467
2752	8	2752
1516	34	3018
2755	34	1778
761	38	3172
1237	0	2824
428	12	1426
1896	32	196
546	34	1650
481	17	790
2169	34	2687
2631	17	2631
870	34	1362
2284	34	2285
1377	8	1378
2459	8	1303
2728	34	349
1571	1	77
2649	14	366
840	5	867
2133	27	840
1615	34	1656
1711	34	1712
326	34	892
1286	21	1967
2430	34	1167
3160	34	132
2977	34	60
1207	12	1550
2306	34	1812
214	34	2729
531	21	2080
2289	39	2288
974	34	2837
670	21	2133
2575	34	2574
3055	21	3058
2814	34	1808
2220	34	2684
883	37	1129
1616	34	2682
469	34	1650
1914	34	585
2038	34	660
364	20	2729
2133	10	2550
2472	34	2546
2072	34	2071
1599	34	2586
1367	34	1809
1588	34	2264
2664	21	2938
1957	34	653
2612	34	2359
2807	34	1951
2133	27	1308
2227	14	1261
1908	34	1907
1497	38	1018
2455	21	2073
3162	34	2973
1062	34	1845
1752	34	380
2038	0	2728
2103	21	1388
1223	21	2938
2431	34	2573
97	8	98
966	21	2938
870	14	2708
591	38	2857
2056	8	1674
1527	8	1527
729	0	3014
2195	33	2051
1912	37	1932
823	12	2025
1111	25	2317
1487	14	2159
2330	34	2296
2871	34	2876
2482	8	2481
2417	8	1430
2659	34	2660
2980	0	1256
3118	19	1062
1559	13	229
1292	0	1235
769	12	3
54	37	2424
754	21	733
2910	34	2195
3093	34	719
2631	4	2929
1595	34	1292
689	34	131
2999	12	3000
2694	13	612
729	34	720
1209	34	1209
2678	1	2027
2884	34	1864
631	8	630
1167	21	2133
2525	34	2935
2562	34	2561
1785	34	1616
